,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,November,24,2012,Plant A,3F,1160,00124626,00007129," 427,026 "
2013,02,November,24,2012,Plant R,1K,1165,00092936,00009995," 636,451 "
2013,02,November,24,2012,Plant R,2I,1112,00129212,00009995," 635,286 "
2013,02,November,25,2012,Plant A,3C,1160,00127443,00007129," 427,610 "
2013,02,November,25,2012,Plant A,3D,1160,00127443,00007129," 417,500 "
2013,02,November,25,2012,Plant A,3E,1160,00127443,00007129," 418,958 "
2013,02,November,25,2012,Plant A,3F,1160,00127443,00007129," 424,693 "
2013,02,November,25,2012,Plant B,EA,1122,00102501,00007960," 480,717 "
2013,02,November,25,2012,Plant R,2A,1116,00129212,00009995," 669,381 "
2013,02,November,26,2012,Plant R,2K,1116,00021932,00009995," 640,823 "
2013,02,November,27,2012,Plant C,23,1116,00241632,00007119," 381,752 "
2013,02,November,28,2012,Plant D,01,1140,00103718,00007961," 594,189 "
2013,02,November,28,2012,Plant M,11,1160,00023820,00007119," 386,249 "
2013,02,November,28,2012,Plant N,3A,1116,00001562,00007129," 427,318 "
2013,02,November,28,2012,Plant N,3C,1116,00001562,00007129," 422,263 "
2013,02,November,28,2012,Plant W,1B,1116,00092875,00009995," 631,643 "
2013,02,November,29,2012,Plant D,01,1127,00103718,00007961," 581,226 "
2013,02,November,29,2012,Plant R,2F,1116,00021932,00009995," 639,074 "
2013,02,November,29,2012,Plant R,2G,1116,00021932,00009995," 640,823 "
2013,02,November,29,2012,Plant R,2M,1116,00021932,00009995," 637,034 "
2013,02,November,29,2012,Plant T,1A,1116,00068332,00009995," 641,260 "
2013,02,November,29,2012,Plant W,2E,1152,00092860,00009995," 638,783 "
2013,02,November,29,2012,Plant W,4C,1152,00013500,00009995," 645,048 "
2013,02,November,30,2012,Plant D,01,1127,00103718,00007961," 583,739 "
2013,02,November,30,2012,Plant R,2L,1116,00120681,00009995," 641,843 "
2013,02,November,30,2012,Plant R,2M,1116,00120681,00009995," 643,883 "
2013,02,November,30,2012,Plant S,MA,1133,00086097,00010270," 838,985 "
2013,02,November,30,2012,Plant W,2A,1152,00092860,00009995," 631,352 "
